spanishword,englishword
mediar,mediate
higos,figs
conminar,to threaten
peripecias,vicisitudes
huerto,garden
parra,vine
avecinar,to approach
frailero,friar
ayunar,fast
traslucir,to reveal
iracundo,irate
legañas,sleep goop
tejido,knitted
prebendas,privelige
alimañas,pests
limosna,alms
ultrajar,to outrage
atiborrar,to pack
abarrotar,to pack
inmiscuir,to meddle
ensimismarse,to get lost in thought
desgranar,to shuck
embobado,spell bound
sorna,sarcasm
fundir,to fuse together
penar,to punish
madeja,skein
trabar,to jam
trabado,connected
esbelta,thin
tosca,rough
pesadumbre,grief
apesadumbrado,distressed
abolladura,dent
mella,dent
limpido,limpid